City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Avarua,CK,-21.2078,-159.775,77.05,65,75,9.22,broken clouds
156,Vostok,RU,46.4856,135.8833,43.11,96,100,3.56,overcast clouds
157,Tazovskiy,RU,67.4667,78.7,32.79,90,100,9.6,overcast clouds
158,Mount Gambier,AU,-37.8333,140.7667,47.55,90,52,15.9,broken clouds
159,Hun,LY,29.1268,15.9477,77.25,36,4,7.25,clear sky
160,Singkang,MY,2.1006,102.7994,75.09,90,57,1.68,broken clouds
161,Raga,SS,8.4596,25.678,70.86,90,70,3.87,broken clouds
162,Fort Nelson,CA,58.8053,-122.7002,51.39,20,40,19.57,shower rain
163,Iqaluit,CA,63.7506,-68.5145,37.13,74,40,0.0,scattered clouds
164,Jishou,CN,28.3167,109.7167,71.69,80,0,0.96,clear sky
165,Coquimbo,CL,-29.9533,-71.3436,58.73,67,0,12.66,clear sky
166,Necochea,AR,-38.5473,-58.7368,49.03,70,4,9.75,clear sky
167,Mapiri,BO,-15.25,-68.1667,77.59,73,83,2.66,heavy intensity rain
168,Cabedelo,BR,-6.9811,-34.8339,77.67,79,4,10.94,clear sky
169,Varnavino,RU,57.4035,45.0916,41.04,94,98,3.96,overcast clouds
170,Sabha,LY,27.0377,14.4283,78.89,31,1,8.63,clear sky
171,Kismayo,SO,-0.3582,42.5454,77.02,83,46,14.52,scattered clouds
172,Narsaq,GL,60.9167,-46.05,43.02,65,0,4.68,clear sky
173,Koster,ZA,-25.863,26.8976,54.63,23,0,10.49,clear sky
174,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,78,0,13.8,clear sky
175,Ponta Do Sol,PT,32.6667,-17.1,75.0,77,100,5.73,overcast clouds
176,Hurfeish,IL,33.0171,35.3484,64.53,84,4,5.17,clear sky
177,Geraldton,AU,-28.7667,114.6,48.61,87,0,6.91,clear sky
178,Saint-Augustin,CA,51.226,-58.6502,42.06,92,100,7.38,overcast clouds
179,Camargo,MX,27.6667,-105.1667,72.99,46,100,7.16,overcast clouds
180,Tarut,SA,26.5733,50.0369,87.78,78,42,8.75,scattered clouds
181,New Norfolk,AU,-42.7826,147.0587,55.76,79,63,2.55,broken clouds
182,Sistranda,NO,63.7256,8.834,56.89,92,100,22.01,light rain
183,Sorong,ID,-0.8833,131.25,77.52,87,100,10.4,overcast clouds
184,Flinders,AU,-34.5833,150.8552,69.06,73,52,1.01,broken clouds
185,Dingle,PH,10.9995,122.6711,75.4,94,100,4.52,moderate rain
186,Cidreira,BR,-30.1811,-50.2056,64.06,94,100,14.61,light rain
187,Changtu,CN,42.7788,124.0955,46.76,77,100,9.98,overcast clouds
188,Imbituba,BR,-28.24,-48.6703,73.29,95,94,7.34,overcast clouds
189,Camrose,CA,53.0168,-112.8353,58.39,33,3,14.2,clear sky
190,Hutchinson,US,38.0608,-97.9298,81.19,31,1,1.01,clear sky
191,Tautira,PF,-17.7333,-149.15,84.22,75,16,9.62,few clouds
192,Saint-Pierre,RE,-21.3393,55.4781,73.08,68,90,4.61,overcast clouds
193,Alofi,NU,-19.0595,-169.9187,78.69,83,74,20.71,light rain
194,Hay River,CA,60.8156,-115.7999,49.98,32,75,13.8,broken clouds
195,Kavieng,PG,-2.5744,150.7967,82.63,71,100,5.26,overcast clouds
196,Vestmannaeyjar,IS,63.4427,-20.2734,46.63,80,78,6.91,broken clouds
197,Omsukchan,RU,62.5333,155.8,24.64,89,100,12.17,overcast clouds
198,Damghan,IR,36.1683,54.348,60.94,59,0,2.37,clear sky
199,Kahului,US,20.8947,-156.47,88.86,66,40,19.57,scattered clouds
200,Sumbe,AO,-11.2061,13.8437,72.5,81,96,4.72,overcast clouds
201,Ouadda,CF,8.0777,22.4007,67.96,96,79,3.22,light rain
202,Klaksvik,FO,62.2266,-6.589,49.12,88,100,26.96,overcast clouds
203,Plochingen,DE,48.7107,9.4195,62.55,85,0,3.44,clear sky
204,Bodden Town,KY,19.2833,-81.25,84.99,77,40,4.0,scattered clouds
205,Kamaishi,JP,39.2667,141.8833,65.82,80,1,8.43,clear sky
206,Nouakchott,MR,18.0858,-15.9785,82.33,79,2,12.91,clear sky
207,Chabahar,IR,25.2919,60.643,81.36,81,71,1.92,broken clouds
208,Ladario,BR,-19.0047,-57.6017,92.59,35,74,4.16,broken clouds
209,Flin Flon,CA,54.7682,-101.865,62.44,39,40,6.91,smoke
210,Camabatela,AO,-8.1881,15.375,64.6,85,65,4.45,broken clouds
211,Amudat,UG,1.95,34.95,71.19,74,46,3.04,light rain
212,Vermillion,US,42.7794,-96.9292,78.03,24,0,7.63,clear sky
213,Kamenka,RU,51.3223,42.7678,42.44,77,1,6.53,clear sky
214,Vila Do Maio,CV,15.1333,-23.2167,81.39,78,37,6.2,scattered clouds
215,Phonhong,LA,18.5007,102.4166,73.54,94,84,2.01,broken clouds
216,Vila Velha,BR,-20.3297,-40.2925,78.75,78,0,18.41,clear sky
217,San Vicente,AR,-26.6167,-54.1333,64.35,100,93,0.92,overcast clouds
218,College,US,64.8569,-147.8028,36.59,95,75,3.44,light snow
219,Anori,BR,-3.7728,-61.6442,83.1,69,99,1.9,light rain
220,Hofn,IS,64.2539,-15.2082,47.48,77,100,20.15,overcast clouds
221,Alice Springs,AU,-23.7,133.8833,62.15,36,0,0.0,clear sky
222,Anloga,GH,5.7947,0.8973,79.9,84,19,11.21,few clouds
223,Bud,US,39.447,-86.1758,75.29,87,100,8.46,overcast clouds
224,Hegra,NO,63.4644,11.114,64.31,63,75,9.22,moderate rain
225,Chokurdakh,RU,70.6333,147.9167,22.1,96,98,8.99,light snow
226,Bastia,FR,42.6667,9.3333,72.3,86,0,12.66,clear sky
227,Nioro,GM,13.35,-15.75,80.1,77,12,4.21,few clouds
228,Calabozo,VE,8.9242,-67.4293,82.85,66,92,4.94,overcast clouds
229,Orlik,RU,52.5178,99.825,18.77,79,100,2.64,overcast clouds
230,Saint George,US,37.1041,-113.5841,90.07,13,1,4.0,clear sky
231,Palmas,BR,-10.2128,-48.3603,85.87,58,20,5.75,few clouds
232,Haimen,CN,23.1935,116.6142,78.69,76,6,14.79,light rain
233,Auki,SB,-8.7676,160.7034,81.81,78,14,2.71,few clouds
234,Charters Towers,AU,-20.1,146.2667,77.14,63,4,11.5,clear sky
235,Chifeng,CN,42.2683,118.9636,48.49,62,100,4.92,overcast clouds
236,Jacareacanga,BR,-6.2222,-57.7528,83.71,54,100,2.37,overcast clouds
237,Bilma,NE,18.6853,12.9164,86.7,17,35,6.46,scattered clouds
238,Isangel,VU,-19.55,169.2667,79.75,77,2,4.94,clear sky
239,Mocuba,MZ,-16.8392,36.9856,80.83,50,55,7.43,broken clouds
240,Mirzapur,IN,25.15,82.5833,78.94,83,36,2.28,scattered clouds
241,Kaitangata,NZ,-46.2817,169.8464,50.94,84,100,15.01,light rain
242,Champerico,GT,14.3,-91.9167,87.04,72,24,7.36,few clouds
243,Plaisance-Du-Touch,FR,43.5657,1.2975,57.74,95,75,1.01,broken clouds
244,Bonfim,BR,3.0833,-59.95,82.56,69,94,8.25,overcast clouds
245,Acapulco,MX,16.8634,-99.8901,87.62,70,1,8.05,clear sky
246,Crotone,IT,39.0851,17.1178,70.02,72,73,7.05,broken clouds
247,Naze,JP,28.3667,129.4833,77.92,64,1,18.63,clear sky
248,Ca Mau,VN,9.1769,105.15,76.12,93,100,3.65,overcast clouds
249,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,40,11.5,scattered clouds
250,Krasnozerskoye,RU,53.9828,79.2374,34.07,80,100,7.36,overcast clouds
251,Marsh Harbour,BS,26.5412,-77.0636,80.28,67,1,8.9,clear sky
252,Paciran,ID,-6.8767,112.3761,77.97,76,100,9.53,overcast clouds
253,Sept-Iles,CA,50.2001,-66.3821,49.05,72,75,1.99,broken clouds
254,Saskylakh,RU,71.9167,114.0833,17.04,92,99,11.77,overcast clouds
255,Ginda,IN,30.6945,78.4932,59.5,91,0,4.23,clear sky
256,Ayr,GB,55.4627,-4.6339,52.11,89,39,15.48,scattered clouds
257,The Pas,CA,53.8251,-101.2541,64.42,36,90,11.5,haze
258,Ahuimanu,US,21.4447,-157.8378,87.51,63,40,10.36,scattered clouds
259,Gravelbourg,CA,49.8834,-106.5512,79.07,15,6,14.54,clear sky
260,Ochakiv,UA,46.6128,31.5498,55.54,48,99,11.77,overcast clouds
261,Padang,ID,-0.9492,100.3543,73.45,87,94,2.86,overcast clouds
262,Altay,CN,47.8667,88.1167,31.95,40,86,5.53,overcast clouds
263,Kendari,ID,-3.945,122.4989,73.71,94,99,3.27,overcast clouds
264,Lata,PT,40.1629,-8.3327,56.8,84,52,0.87,broken clouds
265,Beringovskiy,RU,63.05,179.3167,38.89,99,100,6.89,light rain
266,Pahrump,US,36.2083,-115.9839,91.51,13,6,3.0,clear sky
267,Carnarvon,AU,-24.8667,113.6333,59.07,82,0,10.36,clear sky
268,Codrington,AU,-38.2667,141.9667,50.45,84,58,19.55,broken clouds
269,Inhambane,MZ,-23.865,35.3833,72.03,92,100,7.67,overcast clouds
270,Ambagarh Chauki,IN,20.7833,80.7167,74.05,92,94,4.12,overcast clouds
271,Sakaiminato,JP,35.55,133.2333,67.98,73,20,9.22,few clouds
272,Dryden,CA,49.7833,-92.7503,62.89,63,1,5.75,clear sky
273,Sedalia,US,38.7045,-93.2283,75.63,62,1,9.22,clear sky
274,Gizo,SB,-8.103,156.8419,83.25,75,12,5.57,few clouds
275,Omboue,GA,-1.5746,9.2618,76.55,84,100,7.27,overcast clouds
276,Katsuura,JP,35.1333,140.3,73.11,77,4,8.61,clear sky
277,Kalmar,SE,56.6616,16.3616,58.93,87,100,12.66,overcast clouds
278,Krivosheino,RU,57.3431,83.9261,33.73,98,100,6.24,overcast clouds
279,Talcahuano,CL,-36.7167,-73.1167,56.88,67,0,20.71,clear sky
280,Inta,RU,66.0317,60.1659,30.65,89,90,8.32,overcast clouds
281,Maceio,BR,-9.6658,-35.7353,76.44,94,0,5.75,clear sky
282,Muroto,JP,33.2833,134.15,66.24,74,3,5.91,clear sky
283,Sawakin,SD,19.1059,37.3321,84.15,62,96,9.15,overcast clouds
284,Christchurch,NZ,-43.5333,172.6333,53.91,89,90,5.01,moderate rain
285,Banda Aceh,ID,5.5577,95.3222,78.4,82,50,10.51,scattered clouds
286,Marsa Matruh,EG,31.3525,27.2453,73.6,49,40,5.75,scattered clouds
287,Matamoros,MX,25.5333,-103.25,78.91,53,90,9.22,overcast clouds
288,Podgorodnyaya Pokrovka,RU,51.8281,54.9874,46.53,63,100,7.38,overcast clouds
289,Santa Maria,BR,-29.6842,-53.8069,64.18,82,99,8.48,light rain
290,Kieta,PG,-6.2167,155.6333,83.39,69,100,1.5,overcast clouds
291,Jurado,CO,7.1053,-77.7641,81.59,78,37,5.75,scattered clouds
292,Diego De Almagro,CL,-26.3667,-70.05,69.42,17,1,8.75,clear sky
293,Along,IN,28.1667,94.7667,70.79,99,100,1.19,overcast clouds
294,Samarai,PG,-10.6167,150.6667,80.91,80,64,5.95,broken clouds
295,Coihaique,CL,-45.5752,-72.0662,46.35,66,75,5.75,broken clouds
296,Kununurra,AU,-15.7667,128.7333,75.18,88,60,0.0,broken clouds
297,Husavik,IS,66.0449,-17.3389,42.71,98,100,21.79,overcast clouds
298,Pangnirtung,CA,66.1451,-65.7125,37.29,72,85,1.81,overcast clouds
299,Yellowknife,CA,62.456,-114.3525,52.41,51,40,10.36,scattered clouds
300,Dakoro,NE,14.5106,6.765,90.16,18,0,5.79,clear sky
301,Sillod,IN,20.3,75.65,75.11,85,99,3.0,overcast clouds
302,Yumen,CN,40.2833,97.2,40.42,45,90,9.55,overcast clouds
303,Buraydah,SA,26.326,43.975,79.25,13,8,7.83,clear sky
304,Fougeres,FR,48.35,-1.2,51.66,94,0,8.43,clear sky
305,Aksarka,RU,66.5606,67.7975,29.07,79,93,9.98,overcast clouds
306,Mantua,IT,45.1667,10.7833,71.28,85,65,1.99,broken clouds
307,Newberry,US,34.2746,-81.6187,81.19,66,80,3.27,broken clouds
308,Magadan,RU,59.5667,150.8,37.0,67,100,9.57,overcast clouds
309,Tolaga Bay,NZ,-38.3667,178.3,60.89,85,100,12.48,overcast clouds
310,Miandrivazo,MG,-19.5167,45.4667,77.13,70,8,4.97,clear sky
311,Plouzane,FR,48.3833,-4.6167,57.25,88,75,13.8,light rain
312,Columbus,US,39.9612,-82.9988,72.77,93,90,4.61,overcast clouds
313,Ahipara,NZ,-35.1667,173.1667,60.84,97,90,8.48,overcast clouds
314,Punta Alta,AR,-38.8759,-62.0736,55.65,47,52,6.71,broken clouds
315,Baft,IR,29.234,56.6057,60.82,28,68,5.01,broken clouds
316,Xichang,CN,27.8964,102.2634,61.86,93,12,1.43,few clouds
317,Ostrovnoy,RU,68.0531,39.5131,44.29,85,18,21.61,few clouds
318,Fairbanks,US,64.8378,-147.7164,36.61,95,90,8.05,light snow
319,Marmarion,GR,38.0484,24.3204,66.74,62,34,18.45,scattered clouds
320,Leningradskiy,RU,69.3833,178.4167,19.29,83,66,4.0,broken clouds
321,Quelimane,MZ,-17.8786,36.8883,77.2,79,10,8.59,clear sky
322,Sao Filipe,CV,14.8961,-24.4956,80.71,77,80,4.9,broken clouds
323,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,19.57,few clouds
324,Evensk,RU,61.95,159.2333,40.8,60,100,21.03,overcast clouds
325,Makakilo City,US,21.3469,-158.0858,86.32,61,90,5.75,overcast clouds
326,Port-Cartier,CA,50.0334,-66.8654,48.74,75,99,0.65,overcast clouds
327,Elat,IL,29.5581,34.9482,76.84,50,0,16.11,clear sky
328,Tual,ID,-5.6667,132.75,80.64,67,96,8.41,overcast clouds
329,Grahamstown,ZA,-33.3042,26.5328,49.6,72,64,1.43,broken clouds
330,Luangwa,ZM,-15.6167,30.4167,85.17,36,76,2.19,broken clouds
331,Vanimo,PG,-2.6741,141.3028,79.48,79,81,2.86,broken clouds
332,Alyangula,AU,-13.8483,136.4192,81.48,75,46,10.31,scattered clouds
333,Bozova,TR,37.3625,38.5267,65.32,37,0,8.77,clear sky
334,San Patricio,US,28.017,-97.5169,90.01,56,89,4.23,overcast clouds
335,Deputatskiy,RU,69.3,139.9,13.64,93,93,6.06,overcast clouds
336,Monki,PL,53.405,22.7979,47.68,66,78,12.21,broken clouds
337,Apatin,RS,45.6711,18.9847,60.28,44,26,7.94,scattered clouds
338,Ocos,GT,14.5094,-92.1933,89.78,70,39,6.55,scattered clouds
339,Iquitos,PE,-3.7481,-73.2472,82.44,78,75,8.05,broken clouds
340,Harper,LR,4.375,-7.7169,78.19,88,91,6.06,overcast clouds
341,Maputo,MZ,-25.9653,32.5892,62.22,82,100,8.01,overcast clouds
342,Sibenik,HR,43.7272,15.9058,66.38,74,0,1.01,clear sky
343,Ilulissat,GL,69.2167,-51.1,28.42,64,99,1.14,overcast clouds
344,Covington,US,39.0837,-84.5086,72.7,90,20,11.5,few clouds
345,Multan,PK,30.1956,71.4753,84.09,79,4,6.91,smoke
346,Baykit,RU,61.67,96.37,34.16,94,98,1.21,overcast clouds
347,Sisimiut,GL,66.9395,-53.6735,34.52,73,22,6.31,few clouds
348,Tortoli,IT,39.9256,9.6572,75.97,88,20,24.16,few clouds
349,Coruripe,BR,-10.1256,-36.1756,76.17,85,9,12.12,clear sky
