City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Sao Filipe,CV,80.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
323,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
325,Makakilo City,US,86.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
327,Elat,IL,76.84,clear sky,29.5581,34.9482,Club Hotel Eilat
328,Tual,ID,80.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
330,Luangwa,ZM,85.17,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
331,Vanimo,PG,79.48,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
332,Alyangula,AU,81.48,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
338,Ocos,GT,89.78,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
339,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
340,Harper,LR,78.19,overcast clouds,4.375,-7.7169,Screensaver
345,Multan,PK,84.09,smoke,30.1956,71.4753,Synergy Rooms
348,Tortoli,IT,75.97,few clouds,39.9256,9.6572,Hotel La Bitta
349,Coruripe,BR,76.17,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
350,Trat,TH,80.98,broken clouds,12.5,102.5,สวนหนิง-อัศ
351,Mareeba,AU,84.33,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
352,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
353,Marica,BR,75.36,moderate rain,-22.9194,-42.8186,Marica Hills
354,Robertsport,LR,79.68,broken clouds,6.7533,-11.3686,Kwepunha Retreat
355,Panji,ID,75.47,broken clouds,-7.7253,114.0995,Rumah andre
362,Russell,US,80.2,broken clouds,32.3502,-85.1999,Macs
366,Veracruz,MX,78.87,broken clouds,19.3333,-96.6667,El Carrizal
374,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
382,Manokwari,ID,80.67,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
393,Kailua,US,87.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
399,Muisne,EC,80.71,broken clouds,0.6,-80.0333,Quinta Samay
400,Sinnamary,GF,80.15,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
404,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
413,Sabang,ID,81.61,scattered clouds,5.8933,95.3214,Hotel Citra
414,Gigmoto,PH,81.05,light rain,13.7796,124.39,Cj's Travellers Inn
422,Porto Novo,BJ,78.12,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
426,Panama City,PA,85.17,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
427,Daru,PG,80.51,scattered clouds,-9.0763,143.2092,Daru Lodge
430,Ojinaga,MX,87.57,clear sky,29.5667,-104.4167,Suites Las Palmas
435,Camden,US,80.64,overcast clouds,39.7835,-74.9663,Days Inn by Wyndham Berlin Voorhees
438,Ashqelon,IL,75.09,broken clouds,31.6693,34.5715,Leonardo Ashkelon
439,Marzuq,YE,76.44,overcast clouds,14.4,46.4667,
442,Petrolina,BR,84.25,clear sky,-9.3986,-40.5008,JB Hotel
446,Inyonga,TZ,76.1,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
447,Lorengau,PG,82.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
448,Malie,WS,85.91,light rain,-13.8004,-171.8469,Global Motel
450,Agadez,NE,80.56,clear sky,19.75,10.25,
452,Aden,YE,88.0,broken clouds,12.7794,45.0367,Sama Emirate Hotel
453,Noumea,NC,80.58,clear sky,-22.2763,166.4572,Hôtel Le Lagon
454,Kapoeta,SS,76.28,broken clouds,4.7717,33.5903,Eastgate Hotel
